bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
10809,2026-08-06 01:35:00,4344.0,4344.8,4341.2,4341.6,124,122,69,51,124,-18,-18,-18,-18,-1049,122,0,0,0,1.0164,0,0,34,4343.8,8,301568
10810,2026-08-06 01:36:00,4341.7,4345.9,4341.2,4345.5,143,131,52,85,143,33,33,33,33,-1016,131,0,0,0,1.0916,0,0,40,4342.2,19,301568
10811,2026-08-06 01:37:00,4345.9,4349.0,4344.2,4348.4,287,273,107,140,287,33,33,33,33,-983,273,0,0,0,1.0513,0,0,47,4347.0,16,301568
10812,2026-08-06 01:38:00,4348.8,4352.8,4348.6,4352.0,338,316,147,182,338,35,35,35,35,-948,316,0,0,0,1.0696,0,0,41,4350.0,29,301568
10813,2026-08-06 01:39:00,4352.1,4357.1,4351.6,4352.6,392,356,169,212,392,43,43,43,43,-905,356,0,0,0,1.1011,0,0,55,4352.3,20,301568
10814,2026-08-06 01:40:00,4351.7,4352.4,4347.9,4348.7,308,302,184,120,308,-64,-64,-64,-64,-969,302,0,0,0,1.0199,0,0,43,4350.6,16,301568
10815,2026-08-06 01:41:00,4349.0,4351.4,4348.8,4349.8,128,125,72,56,128,-16,-16,-16,-16,-985,125,0,0,0,1.024,0,0,26,4350.1,16,301568
10816,2026-08-06 01:42:00,4349.6,4351.2,4348.5,4350.7,86,85,39,45,86,6,6,6,6,-979,85,0,0,0,1.0118,0,0,23,4349.3,12,301568
10817,2026-08-06 01:43:00,4350.2,4350.2,4348.0,4349.2,89,78,52,37,89,-15,-15,-15,-15,-994,78,0,0,0,1.141,0,0,18,4348.4,15,301568
10818,2026-08-06 01:44:00,4349.0,4349.9,4347.9,4347.9,80,80,42,36,80,-6,-6,-6,-6,-1000,80,0,0,0,1,0,0,21,4348.7,7,301568
10819,2026-08-06 01:45:00,4348.2,4349.0,4347.0,4347.8,102,98,41,61,102,20,20,20,20,-980,98,0,0,0,1.0408,0,0,20,4347.6,12,301568
10820,2026-08-06 01:46:00,4347.3,4349.0,4343.3,4348.3,274,244,124,145,274,21,21,21,21,-959,244,0,0,0,1.123,0,0,52,4344.0,40,301568
10821,2026-08-06 01:47:00,4348.4,4351.5,4347.8,4348.1,205,204,94,111,205,17,17,17,17,-942,204,0,0,0,1.0049,0,0,36,4350.8,17,301568
10822,2026-08-06 01:48:00,4347.8,4355.4,4347.5,4355.4,225,211,63,161,225,98,98,98,98,-844,211,0,0,0,1.0664,0,0,64,4352.0,18,301568
10823,2026-08-06 01:49:00,4355.4,4355.8,4352.8,4353.9,258,255,133,125,258,-8,-8,-8,-8,-852,255,0,0,0,1.0118,0,0,29,4354.0,24,301568
10824,2026-08-06 01:50:00,4353.7,4357.8,4353.4,4355.0,270,266,129,139,270,10,10,10,10,-842,266,0,0,0,1.015,0,0,40,4356.9,17,301568
10825,2026-08-06 01:51:00,4354.9,4357.2,4354.4,4355.8,155,150,66,86,155,20,20,20,20,-822,150,0,0,0,1.0333,0,0,28,4355.8,15,301568
