bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
14404,2026-07-29 10:06:00,4091.1,0,1,1,1,1,0,0,0
14404,2026-07-29 10:06:00,4091.2,3,3,6,0,6,0,0,0
14404,2026-07-29 10:06:00,4091.3,8,4,14,-4,13,0,0,0
14404,2026-07-29 10:06:00,4091.4,1,5,6,4,6,0,0,0
14404,2026-07-29 10:06:00,4091.5,0,5,5,5,5,0,0,0
14404,2026-07-29 10:06:00,4091.6,1,3,4,2,4,0,0,0
14404,2026-07-29 10:06:00,4091.9,3,0,3,-3,3,0,0,0
14404,2026-07-29 10:06:00,4092.0,2,1,3,-1,3,0,0,0
14404,2026-07-29 10:06:00,4092.1,2,2,4,0,4,0,0,0
14404,2026-07-29 10:06:00,4092.2,0,3,3,3,3,0,0,0
14404,2026-07-29 10:06:00,4092.3,1,4,5,3,5,0,0,0
14404,2026-07-29 10:06:00,4092.4,1,2,3,1,3,0,0,0
14404,2026-07-29 10:06:00,4092.5,1,3,4,2,4,0,0,0
14404,2026-07-29 10:06:00,4092.6,1,2,3,1,3,0,0,0
14404,2026-07-29 10:06:00,4092.7,0,3,3,3,3,0,0,0
14404,2026-07-29 10:06:00,4092.8,0,1,1,1,1,0,0,0
14405,2026-07-29 10:07:00,4090.6,1,0,1,-1,1,0,0,0
14405,2026-07-29 10:07:00,4090.8,2,0,2,-2,2,0,0,0
14405,2026-07-29 10:07:00,4091.0,1,1,2,0,2,0,0,0
14405,2026-07-29 10:07:00,4091.1,0,1,2,1,2,0,0,0
14405,2026-07-29 10:07:00,4091.2,3,0,3,-3,2,0,0,0
14405,2026-07-29 10:07:00,4091.7,1,0,1,-1,1,0,0,0
14405,2026-07-29 10:07:00,4091.8,0,1,1,1,1,0,0,0
14405,2026-07-29 10:07:00,4092.0,1,0,1,-1,1,0,0,0
14405,2026-07-29 10:07:00,4092.1,0,1,1,1,1,0,0,0
14405,2026-07-29 10:07:00,4092.2,0,4,4,4,4,0,0,0
14405,2026-07-29 10:07:00,4092.3,13,2,15,-11,6,0,0,0
14405,2026-07-29 10:07:00,4092.4,0,2,2,2,2,0,0,0
14406,2026-07-29 10:08:00,4091.2,3,0,6,-3,6,0,0,0
14406,2026-07-29 10:08:00,4091.3,1,0,6,-1,5,0,0,0
14406,2026-07-29 10:08:00,4091.4,0,2,4,2,4,0,0,0
14406,2026-07-29 10:08:00,4091.5,6,4,11,-2,8,0,0,0
14406,2026-07-29 10:08:00,4091.6,3,2,5,-1,5,0,0,0
14406,2026-07-29 10:08:00,4091.7,2,0,2,-2,2,0,0,0
14406,2026-07-29 10:08:00,4091.8,4,0,4,-4,4,0,0,0
14407,2026-07-29 10:09:00,4090.9,1,0,1,-1,1,0,0,0
14407,2026-07-29 10:09:00,4091.1,0,1,2,1,2,0,0,0
14407,2026-07-29 10:09:00,4091.2,0,1,1,1,1,0,0,0
14407,2026-07-29 10:09:00,4091.3,2,3,5,1,5,0,0,0
14407,2026-07-29 10:09:00,4091.4,0,1,2,1,2,0,0,0
14407,2026-07-29 10:09:00,4091.5,0,1,1,1,1,0,0,0
14407,2026-07-29 10:09:00,4091.6,0,3,3,3,3,0,0,0
14407,2026-07-29 10:09:00,4091.7,0,1,1,1,1,0,0,0
14408,2026-07-29 10:10:00,4091.8,1,1,2,0,2,0,0,0
14408,2026-07-29 10:10:00,4091.9,0,1,1,1,1,0,0,0
14408,2026-07-29 10:10:00,4092.0,0,1,1,1,1,0,0,0
14408,2026-07-29 10:10:00,4092.1,0,1,1,1,1,0,0,0
14408,2026-07-29 10:10:00,4092.4,0,1,1,1,1,0,0,0
14408,2026-07-29 10:10:00,4092.5,1,3,4,2,4,0,0,0
14408,2026-07-29 10:10:00,4092.6,0,2,2,2,2,0,0,0
14409,2026-07-29 10:11:00,4091.1,1,0,1,-1,1,0,0,0
14409,2026-07-29 10:11:00,4091.3,2,0,2,-2,2,0,0,0
14409,2026-07-29 10:11:00,4091.4,1,0,2,-1,2,0,0,0
14409,2026-07-29 10:11:00,4091.6,1,0,1,-1,1,0,0,0
14409,2026-07-29 10:11:00,4091.7,4,0,4,-4,4,0,0,0
14409,2026-07-29 10:11:00,4091.8,0,1,1,1,1,0,0,0
14409,2026-07-29 10:11:00,4091.9,2,2,4,0,4,0,0,0
14409,2026-07-29 10:11:00,4092.0,1,1,3,0,3,0,0,0
14409,2026-07-29 10:11:00,4092.1,0,1,2,1,2,0,0,0
14410,2026-07-29 10:12:00,4090.9,1,0,1,-1,1,0,0,0
14410,2026-07-29 10:12:00,4091.1,1,0,1,-1,1,0,0,0
14410,2026-07-29 10:12:00,4091.2,1,1,3,0,3,0,0,0
14410,2026-07-29 10:12:00,4091.3,0,1,3,1,3,0,0,0
14410,2026-07-29 10:12:00,4091.5,0,4,4,4,3,0,0,0
14410,2026-07-29 10:12:00,4091.6,0,1,1,1,1,0,0,0
14410,2026-07-29 10:12:00,4091.7,2,1,3,-1,3,0,0,0
14410,2026-07-29 10:12:00,4091.8,1,0,1,-1,1,0,0,0
14410,2026-07-29 10:12:00,4091.9,0,1,1,1,1,0,0,0
14410,2026-07-29 10:12:00,4092.0,0,2,2,2,2,0,0,0
14410,2026-07-29 10:12:00,4092.1,0,2,2,2,2,0,0,0
14411,2026-07-29 10:13:00,4090.4,5,0,5,-5,3,0,0,0
14411,2026-07-29 10:13:00,4090.5,1,0,1,-1,1,0,0,0
14411,2026-07-29 10:13:00,4090.6,0,1,1,1,1,0,0,0
14411,2026-07-29 10:13:00,4090.7,0,1,1,1,1,0,0,0
14411,2026-07-29 10:13:00,4090.8,0,1,1,1,1,0,0,0
14411,2026-07-29 10:13:00,4090.9,3,1,4,-2,4,0,0,0
14412,2026-07-29 10:14:00,4089.9,2,0,2,-2,2,0,0,0
14412,2026-07-29 10:14:00,4090.0,7,0,7,-7,7,0,0,0
14412,2026-07-29 10:14:00,4090.1,2,0,2,-2,2,0,0,0
14412,2026-07-29 10:14:00,4090.2,20,2,24,-18,11,0,0,0
14412,2026-07-29 10:14:00,4090.3,20,2,24,-18,11,0,0,0
14412,2026-07-29 10:14:00,4090.4,0,2,2,2,2,0,0,0
14412,2026-07-29 10:14:00,4090.5,1,8,9,7,6,0,0,0
14412,2026-07-29 10:14:00,4090.6,1,2,5,1,5,0,0,0
14412,2026-07-29 10:14:00,4090.7,22,4,27,-18,12,0,0,0
14412,2026-07-29 10:14:00,4090.8,3,6,9,3,8,0,0,0
14412,2026-07-29 10:14:00,4090.9,20,4,24,-16,6,0,0,0
14412,2026-07-29 10:14:00,4091.0,2,6,8,4,8,0,0,0
14412,2026-07-29 10:14:00,4091.1,2,1,3,-1,3,0,0,0
14412,2026-07-29 10:14:00,4091.2,1,2,3,1,3,0,0,0
14413,2026-07-29 10:15:00,4089.6,1,0,1,-1,1,0,0,0
14413,2026-07-29 10:15:00,4089.7,1,0,1,-1,1,0,0,0
14413,2026-07-29 10:15:00,4089.8,2,1,3,-1,3,0,0,0
14413,2026-07-29 10:15:00,4089.9,5,1,6,-4,4,0,0,0
14413,2026-07-29 10:15:00,4090.0,2,0,2,-2,2,0,0,0
14413,2026-07-29 10:15:00,4090.1,1,1,3,0,3,0,0,0
14413,2026-07-29 10:15:00,4090.2,1,0,2,-1,2,0,0,0
14413,2026-07-29 10:15:00,4090.3,1,2,3,1,3,0,0,0
14413,2026-07-29 10:15:00,4090.4,2,0,2,-2,2,0,0,0
14413,2026-07-29 10:15:00,4090.5,0,0,1,0,1,0,0,0
14413,2026-07-29 10:15:00,4090.6,2,1,3,-1,3,0,0,0
14413,2026-07-29 10:15:00,4090.7,18,0,18,-18,6,0,0,0
14413,2026-07-29 10:15:00,4090.8,1,2,5,1,5,0,0,0
14413,2026-07-29 10:15:00,4090.9,0,2,2,2,2,0,0,0
14413,2026-07-29 10:15:00,4091.0,0,1,3,1,3,0,0,0
14414,2026-07-29 10:16:00,4089.6,2,0,5,-2,5,0,0,0
14414,2026-07-29 10:16:00,4089.7,1,0,3,-1,3,0,0,0
14414,2026-07-29 10:16:00,4089.8,5,0,5,-5,5,0,0,0
14414,2026-07-29 10:16:00,4089.9,1,1,2,0,2,0,0,0
14414,2026-07-29 10:16:00,4090.0,1,0,1,-1,1,0,0,0
14414,2026-07-29 10:16:00,4090.1,0,0,3,0,3,0,0,0
14414,2026-07-29 10:16:00,4090.2,0,2,2,2,2,0,0,0
14414,2026-07-29 10:16:00,4090.3,1,4,5,3,5,0,0,0
14414,2026-07-29 10:16:00,4090.5,0,1,1,1,1,0,0,0
14415,2026-07-29 10:17:00,4089.4,2,0,2,-2,2,0,0,0
14415,2026-07-29 10:17:00,4089.5,1,0,1,-1,1,0,0,0
14415,2026-07-29 10:17:00,4089.6,1,0,1,-1,1,0,0,0
14415,2026-07-29 10:17:00,4089.7,0,0,1,0,1,0,0,0
14415,2026-07-29 10:17:00,4090.0,1,2,3,1,2,0,0,0
14415,2026-07-29 10:17:00,4090.2,4,0,4,-4,4,0,0,0
