bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
429,2026-07-14 09:00:00,4080.7,4088.5,4080.0,4080.0,49,49,7,2,49,-5,-5,-5,-5,-87,49,0,0,0,1,0,0,32,4083.0,4,94970
430,2026-07-14 09:30:00,4081.8,4089.0,4078.8,4086.5,54,54,9,2,54,-7,-7,-7,-7,-94,54,0,0,0,1,0,0,37,4081.5,5,94970
431,2026-07-14 10:00:00,4087.0,4087.6,4080.9,4082.4,84,82,14,2,84,-12,-12,-12,-12,-106,82,0,0,0,1.0244,0,0,36,4083.8,28,94970
432,2026-07-14 10:30:00,4083.2,4087.5,4080.7,4087.5,42,42,4,2,42,-2,-2,-2,-2,-108,42,0,0,0,1,0,0,30,4083.4,3,94970
433,2026-07-14 11:00:00,4087.6,4093.5,4081.1,4090.7,57,57,7,5,57,-2,-2,-2,-2,-110,57,0,0,0,1,0,0,40,4085.4,3,94970
434,2026-07-14 11:30:00,4090.6,4098.0,4090.5,4096.4,85,80,13,15,85,2,2,2,2,-108,80,0,0,0,1.0625,0,0,36,4095.0,7,94970
435,2026-07-14 12:00:00,4096.8,4100.9,4088.2,4094.9,111,110,13,15,111,2,2,2,2,-106,110,0,0,0,1.0091,0,0,65,4092.4,6,94970
436,2026-07-14 12:30:00,4096.1,4170.3,4096.1,4141.6,560,499,185,113,560,-72,-72,-72,-72,-178,499,0,0,0,1.1222,0,0,255,4140.0,17,94970
437,2026-07-14 13:00:00,4142.0,4150.9,4138.0,4147.5,118,105,33,36,118,3,3,3,3,-175,105,0,0,0,1.1238,0,0,65,4138.5,7,94970
438,2026-07-14 13:30:00,4147.9,4154.3,4141.4,4143.8,64,62,17,17,64,0,0,0,0,-175,62,0,0,0,1.0323,0,0,42,4143.7,7,94970
439,2026-07-14 14:00:00,4142.5,4150.2,4136.9,4140.7,112,102,42,39,112,-3,-3,-3,-3,-178,102,0,0,0,1.098,0,0,71,4144.4,5,94791
440,2026-07-14 14:30:00,4141.2,4156.6,4141.2,4150.9,87,86,20,21,87,1,1,1,1,-177,86,0,0,0,1.0116,0,0,63,4146.4,3,94791
441,2026-07-14 15:00:00,4149.0,4166.6,4145.2,4148.7,141,117,30,52,141,22,22,22,22,-155,117,0,0,0,1.2051,0,0,90,4148.9,6,94791
442,2026-07-14 15:30:00,4149.0,4150.7,4130.0,4130.9,126,92,53,25,126,-28,-28,-28,-28,-183,92,0,0,0,1.3696,0,0,62,4133.2,20,94791
